Price_ID,Feature_ID,id,price,neighbourhood_cleansed,property_type,bathrooms,bedrooms,minimum_nights
2031,2031,1638475,79,De Baarsjes - Oud-West,Apartment,1,2,3
2032,2032,694850,70,Centrum-West,Bed & Breakfast,1,1,1
2033,2033,4772874,165,Westerpark,Apartment,1.5,2,4
2034,2034,4655999,52,Westerpark,Apartment,1.5,1,1
2035,2035,699991,90,Westerpark,Apartment,1,2,2
2036,2036,4197643,400,Watergraafsmeer,Apartment,1,3,3
2037,2037,1762329,100,Oostelijk Havengebied - Indische Buurt,House,1,1,2
2038,2038,695614,140,De Baarsjes - Oud-West,Apartment,1,1,3
2039,2039,1841769,119,Centrum-West,Other,1,0,1
2040,2040,1686070,169,Centrum-West,Apartment,1,0,1
2041,2041,5159580,169,Centrum-West,Apartment,1,1,1
2042,2042,697462,119,De Pijp - Rivierenbuurt,Apartment,1,2,1
2043,2043,5067852,105,De Baarsjes - Oud-West,Apartment,1,1,1
2044,2044,692275,125,De Pijp - Rivierenbuurt,Apartment,1,2,5
2045,2045,1299652,135,De Pijp - Rivierenbuurt,Apartment,1,1,3
2046,2046,715488,160,De Baarsjes - Oud-West,Apartment,1,2,3
2047,2047,3879660,80,De Baarsjes - Oud-West,Apartment,1,2,2
2048,2048,1938510,100,Oostelijk Havengebied - Indische Buurt,Apartment,1,2,2
2049,2049,1548135,90,De Pijp - Rivierenbuurt,Apartment,1,1,5
2050,2050,698896,125,De Pijp - Rivierenbuurt,Apartment,1,2,6
2051,2051,2305578,50,De Baarsjes - Oud-West,Apartment,1,1,1
2052,2052,700993,98,De Pijp - Rivierenbuurt,Apartment,1,1,3
2053,2053,2279998,70,De Pijp - Rivierenbuurt,Apartment,1,1,2
2054,2054,699809,212,De Baarsjes - Oud-West,Apartment,1,1,1
2055,2055,5289847,119,Zuid,Apartment,1.5,2,3
2056,2056,1190278,105,De Baarsjes - Oud-West,House,1,1,2
2057,2057,3016894,250,Oud-Noord,House,2.5,3,3
2058,2058,1477491,60,Zuid,Apartment,1,1,1
2059,2059,700797,132,De Baarsjes - Oud-West,Apartment,1,2,5
2060,2060,1114288,275,Centrum-West,Apartment,2,2,1
2061,2061,3314391,120,Westerpark,Apartment,1.5,2,3
2062,2062,3762962,80,De Pijp - Rivierenbuurt,Apartment,1,2,2
2063,2063,5032478,108,Oud-Oost,Apartment,1,1,2
2064,2064,776288,71,Zuid,Apartment,1,1,5
2065,2065,705509,69,Zuid,Apartment,1,1,4
2066,2066,702124,80,De Pijp - Rivierenbuurt,Apartment,1,1,2
2067,2067,4614616,200,Bos en Lommer,Apartment,1,2,3
2068,2068,4289728,125,De Pijp - Rivierenbuurt,Apartment,1,1,2
2069,2069,4762636,30,Oud-Noord,Apartment,1,1,5
2070,2070,702628,250,Centrum-West,Apartment,1,1,2
2071,2071,702894,170,Bos en Lommer,Apartment,1.5,2,4
2072,2072,5389774,100,De Baarsjes - Oud-West,Apartment,1,1,3
2073,2073,894446,490,Centrum-West,Apartment,3,3,3
2074,2074,703384,445,Centrum-West,Apartment,1,3,3
2075,2075,3714431,445,Centrum-West,Apartment,1,3,3
2076,2076,4755591,328,Centrum-West,Apartment,1,4,1
2077,2077,4690538,364,Centrum-Oost,Apartment,1,3,3
2078,2078,4690572,364,Centrum-Oost,Apartment,1,3,3
2079,2079,2125591,255,Westerpark,Apartment,1,2,3
2080,2080,1648907,290,Centrum-West,Apartment,1,2,3
2081,2081,2690834,255,Centrum-West,Apartment,1,2,3
2082,2082,2113764,255,Westerpark,Apartment,1,2,3
